1-800-DryClean of Dublin,Garment Cleaning,925-803-7597,7172 Regional St #186,Dublin,94568,"7172 Regional St #186
Dublin, CA 94568
(37.70369659300047, -121.93408868299969)"
7 Days A Week Smog,Auto Repair,510-843-0200,2234 San Pablo Ave,Berkeley,94702,"2234 San Pablo Ave
Berkeley, CA 94702
(37.86520010400045, -122.29099103299973)"
"A1 Sun, Inc. Superb Solar Installation",Solar Electric,5105265715,2015 Yolo Ave.,Berkeley,94707,"2015 Yolo Ave.
Berkeley, CA 94707
(37.886026761000494, -122.27215062999971)"
ABVI - Golden Bear Inn,Hotel,510-525-6770,1620 San Pablo Avenue,Berkeley,94702,"1620 San Pablo Avenue
Berkeley, CA 94702
(37.87470972800048, -122.2940515469997)"
"ACC Environmental Consultants, Inc.",Office/Retail,5106388400,"7977 Capwell Dr., Ste. 100",Oakland,94621,"7977 Capwell Dr., Ste. 100
Oakland, CA 94621
(37.73943002200048, -122.20371307699969)"
Ackermans Servicing Volvos,Auto Repair,5105499330,2220 San Pablo Ave,Berkeley,94702,"2220 San Pablo Ave
Berkeley, CA 94702
(37.86565965500046, -122.29114145299968)"
Acorn Wellness Center,Office/Retail,510-452-2929,"2929 Summit Street, Suite 103",Oakland,94609,"2929 Summit Street, Suite 103
Oakland, CA 94609
(37.81834841500046, -122.2648428229997)"
actual cafe,Restaurant,510.653.8386,6334 san pablo ave,Oakland,94608,"6334 san pablo ave
Oakland, CA 94608
(37.84679082600047, -122.28485697499968)"
Addis Creson,Office/Retail,510-704-7500,2515 Ninth Street,Berkeley,94710,"2515 Ninth Street
Berkeley, CA 94710
(37.860060950000445, -122.2916069259997)"
Aeronet Communications,Office/Retail,510-558-0400,834 Camelia Street,Berkeley,94710,"834 Camelia Street
Berkeley, CA 94710
(37.87769325500045, -122.30024363999968)"
Aging In Community,Office/Retail,510-549-8790,2150 Allston Way #400,Berkeley,94702,"2150 Allston Way #400
Berkeley, CA 94702
(37.86953543800047, -122.26670798099968)"
Ajanta,Restaurant,510-526-4373,1888 Solano Avenue,Berkeley,94707,"1888 Solano Avenue
Berkeley, CA 94707
(37.8914425050005, -122.27751116599973)"
Alameda County Environmental Health,Office/Retail,510-567-6700,1131 Harbor Bay Parkway,Alameda,94502,"1131 Harbor Bay Parkway
Alameda, CA 94502
(37.72714975300045, -122.23065204399973)"
Alameda County Health Care Services - Creekside Administrative Office,Office/Retail,(510) 618-2016 (Jennifer),"1000 San Leandro Blvd, Suite 300",San Leandro,94577,"1000 San Leandro Blvd, Suite 300
San Leandro, CA 94577
(37.72555493600049, -122.16238797999972)"
"Alameda County Supervisor Scott Haggerty's Office, District 1",Office/Retail,510-272-6691,"1221 Oak Street, Suite 536",Oakland,94612,"1221 Oak Street, Suite 536
Oakland, CA 94612
(37.80001730800046, -122.2635470789997)"
